JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
64,1,1,11/07/2023,CHECKOUT,DROP-OFF,NULL
62,1,1,11/07/2023,HOMEPAGE,VIEW,95
63,1,1,11/07/2023,PRODUCTPAGE,VIEW,215
8,1,1,23/11/2023,CHECKOUT,PURCHASE,186
6,1,1,23/11/2023,HOMEPAGE,VIEW,226
7,1,1,23/11/2023,PRODUCTPAGE,VIEW,182
77,1,1,27/07/2025,HOMEPAGE,VIEW,298
89,1,2,08/01/2023,HOMEPAGE,VIEW,76
73,1,2,17/06/2023,HOMEPAGE,VIEW,299
88,1,2,09/07/2023,HOMEPAGE,VIEW,226
12,1,2,11/04/2024,HOMEPAGE,VIEW,50
50,1,3,06/03/2023,HOMEPAGE,VIEW,46
41,1,3,25/06/2023,HOMEPAGE,VIEW,258
71,1,3,16/01/2024,HOMEPAGE,VIEW,44
80,1,3,12/03/2024,CHECKOUT,DROP-OFF,NULL
78,1,3,12/03/2024,HOMEPAGE,VIEW,145
79,1,3,12/03/2024,PRODUCTPAGE,CLICK,135
3,1,4,21/02/2023,CHECKOUT,PURCHASE,57
1,1,4,21/02/2023,HOMEPAGE,VIEW,150
2,1,4,21/02/2023,PRODUCTPAGE,VIEW,289
57,1,4,05/05/2023,HOMEPAGE,VIEW,183
49,1,4,22/05/2024,CHECKOUT,PURCHASE,127
47,1,4,22/05/2024,HOMEPAGE,VIEW,42
48,1,4,22/05/2024,PRODUCTPAGE,VIEW,122
58,1,4,24/05/2024,HOMEPAGE,VIEW,107
13,1,4,17/02/2025,HOMEPAGE,VIEW,242
94,1,5,15/03/2023,CHECKOUT,DROP-OFF,NULL
92,1,5,15/03/2023,HOMEPAGE,VIEW,292
93,1,5,15/03/2023,PRODUCTPAGE,VIEW,196
29,1,5,24/11/2023,HOMEPAGE,VIEW,226
61,1,5,14/05/2025,CHECKOUT,DROP-OFF,NULL
59,1,5,14/05/2025,HOMEPAGE,VIEW,152
60,1,5,14/05/2025,PRODUCTPAGE,VIEW,291
43,1,6,26/06/2024,HOMEPAGE,VIEW,226
56,1,7,13/07/2023,CHECKOUT,DROP-OFF,NULL
54,1,7,13/07/2023,HOMEPAGE,VIEW,230
55,1,7,13/07/2023,PRODUCTPAGE,VIEW,37
4,1,7,21/04/2024,HOMEPAGE,VIEW,23
25,1,7,19/10/2025,CHECKOUT,DROP-OFF,NULL
23,1,7,19/10/2025,HOMEPAGE,VIEW,244
24,1,7,19/10/2025,PRODUCTPAGE,VIEW,297
22,1,8,07/03/2023,CHECKOUT,DROP-OFF,NULL
20,1,8,07/03/2023,HOMEPAGE,VIEW,215
21,1,8,07/03/2023,PRODUCTPAGE,CLICK,300
99,1,8,29/11/2023,CHECKOUT,DROP-OFF,NULL
97,1,8,29/11/2023,HOMEPAGE,VIEW,221
98,1,8,29/11/2023,PRODUCTPAGE,CLICK,220
72,1,8,06/04/2025,HOMEPAGE,VIEW,136
86,1,9,25/08/2023,CHECKOUT,DROP-OFF,NULL
84,1,9,25/08/2023,HOMEPAGE,VIEW,293
85,1,9,25/08/2023,PRODUCTPAGE,VIEW,185
90,1,9,27/11/2023,HOMEPAGE,VIEW,236
76,1,9,23/02/2024,CHECKOUT,DROP-OFF,NULL
74,1,9,23/02/2024,HOMEPAGE,VIEW,170
75,1,9,23/02/2024,PRODUCTPAGE,VIEW,163
53,1,9,21/09/2025,CHECKOUT,DROP-OFF,NULL
51,1,9,21/09/2025,HOMEPAGE,VIEW,286
52,1,9,21/09/2025,PRODUCTPAGE,VIEW,134
35,1,9,22/10/2025,HOMEPAGE,VIEW,269
87,1,9,01/11/2025,HOMEPAGE,VIEW,138
40,1,10,05/05/2024,HOMEPAGE,VIEW,133
38,1,10,05/11/2025,CHECKOUT,DROP-OFF,NULL
36,1,10,05/11/2025,HOMEPAGE,VIEW,111
37,1,10,05/11/2025,PRODUCTPAGE,VIEW,281
39,1,11,27/09/2025,HOMEPAGE,VIEW,67
16,1,12,30/11/2023,CHECKOUT,DROP-OFF,NULL
14,1,12,30/11/2023,HOMEPAGE,VIEW,191
15,1,12,30/11/2023,PRODUCTPAGE,VIEW,46
95,1,12,06/03/2024,HOMEPAGE,VIEW,137
96,1,12,12/04/2025,HOMEPAGE,VIEW,89
65,1,13,05/01/2023,HOMEPAGE,VIEW,145
10,1,13,11/06/2023,HOMEPAGE,VIEW,160
30,1,13,20/02/2025,HOMEPAGE,VIEW,249
91,1,14,20/01/2023,HOMEPAGE,VIEW,48
