ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentCategory,Theme
8,1,18,2025-05-25,1,I had a bad experience with this product.,Negative,Product Performance
10,1,17,2025-10-10,2,I had  a bad experience with this product.,Negative,Product Performance
12,1,14,2023-03-22,2,Disappointed with the performance.,Negative,Product Performance
16,2,15,2024-08-05,1,"Not satisfied, the product broke  after a week.",Negative,Durability
20,2,9,2025-04-30,2,"Not satisfied, the product broke after a week.",Negative,Durability
22,2,1,2025-09-20,1,"The product  is okay, but the instructions were unclear.",Negative,Usability
27,2,5,2023-07-27,2,"Terrible customer service,  would not buy again.",Negative,Customer Service
32,2,17,2024-09-02,2,Disappointed with the performance.,Negative,Product Performance
35,3,7,2024-05-05,1,"Average experience, nothing  special.",Negative,Unmet Expectations
40,3,4,2025-03-06,1,"Average experience, nothing special.",Negative,Unmet Expectations
41,3,6,2025-06-07,1,Not worth the  money.,Negative,Product Cost
42,3,15,2025-04-02,1,Disappointed with the performance.,Negative,Product Performance
46,3,5,2025-06-07,2,"Average experience, nothing special.",Negative,Unmet Expectations
50,4,17,2023-02-08,2,"The product is okay, but the instructions were unclear.",Negative,Usability
54,4,18,2023-02-27,1,Disappointed with the performance.,Negative,Product Performance
57,4,9,2024-02-19,1,"The product is okay, but the instructions were unclear.",Negative,Usability
59,4,4,2023-11-13,2,"Not satisfied, the product broke after a week.",Negative,Durability
60,4,5,2024-06-02,2,I had  a bad experience with this product.,Negative,Product Performance
66,5,9,2023-09-23,1,"Not satisfied, the product broke after a week.",Negative,Durability
81,6,9,2025-01-15,2,The product  stopped working after a month.,Negative,"Product Performance, Durability"
86,6,5,2025-03-08,1,I had a bad experience with this  product.,Negative,Product Performance
88,6,17,2023-10-13,2,The product stopped working after a month.,Negative,"Product Performance, Durability"
90,6,4,2025-02-10,1,The product  stopped working after a month.,Negative,"Product Performance, Durability"
93,6,9,2024-04-25,1,"Average experience, nothing  special.",Negative,Unmet Expectations
98,7,15,2023-08-31,2,The product  stopped working after a month.,Negative,"Product Performance, Durability"
102,7,17,2024-07-26,2,Not worth the  money.,Negative,Product Cost
126,9,17,2025-06-14,1,Disappointed with the  performance.,Negative,Product Performance
128,9,15,2024-07-24,2,"Not satisfied, the product broke after a week.",Negative,Durability
133,9,7,2024-09-30,1,"Average experience,  nothing special.",Negative,Unmet Expectations
140,10,12,2025-05-10,2,Disappointed with the performance.,Negative,Product Performance
147,10,4,2025-08-31,1,I had a bad experience with this product.,Negative,Product Performance
148,11,9,2025-05-30,1,"The product is okay, but the instructions were unclear.",Negative,Usability
156,11,12,2024-06-04,1,"Average experience, nothing special.",Negative,Unmet Expectations
158,11,13,2024-05-30,2,The product stopped working after a month.,Negative,"Product Performance, Durability"
159,11,4,2025-08-08,2,Disappointed with  the performance.,Negative,Product Performance
161,11,20,2024-02-02,2,Not worth the money.,Negative,Product Cost
162,12,15,2024-06-16,1,"Not satisfied, the product broke after a week.",Negative,Durability
173,13,3,2025-01-29,1,"The product is okay,  but the instructions were unclear.",Negative,Usability
186,14,5,2023-02-22,1,"Terrible customer service, would not buy again.",Negative,Customer Service
194,15,4,2024-05-31,2,"Not satisfied, the product broke after a week.",Negative,Durability
214,16,7,2023-11-23,1,Not worth the  money.,Negative,Product Cost
224,17,10,2023-04-10,1,Not worth the money.,Negative,Product Cost
227,17,2,2024-03-19,1,Disappointed with the performance.,Negative,Product Performance
230,17,19,2024-12-12,2,The product stopped  working after a month.,Negative,"Product Performance, Durability"
231,17,10,2024-03-15,2,"Average experience, nothing special.",Negative,Unmet Expectations
239,17,20,2023-11-13,1,"Average experience, nothing special.",Negative,Unmet Expectations
241,18,4,2023-12-04,2,Disappointed with  the performance.,Negative,Product Performance
246,18,19,2025-05-12,1,"Not satisfied, the product broke after a week.",Negative,Durability
247,18,19,2024-04-13,1,"Not satisfied, the product broke  after a week.",Negative,Durability
249,18,6,2024-05-27,1,I had a bad experience with this product.,Negative,Product Performance
251,18,13,2025-09-30,2,Disappointed with  the performance.,Negative,Product Performance
258,19,6,2023-09-22,2,Disappointed with the performance.,Negative,Product Performance
260,19,14,2025-08-16,2,The product stopped working after a month.,Negative,"Product Performance, Durability"
261,19,16,2024-12-27,1,"Average experience, nothing  special.",Negative,Unmet Expectations
262,19,9,2025-05-22,1,I had a bad experience with this  product.,Negative,Product Performance
266,20,5,2025-12-22,1,"Not satisfied, the product broke after a week.",Negative,Durability
267,20,1,2024-03-05,2,"Not satisfied, the product broke after  a week.",Negative,Durability
268,20,4,2023-10-20,1,"The product is okay, but the instructions were unclear.",Negative,Usability
275,20,16,2024-08-30,1,Not worth the money.,Negative,Product Cost
