ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,compound,SentimentCategory
1,1,5,2025-03-19,2,"Good quality, but could be cheaper.",0.2382,Mixed Positive
2,1,2,2025-11-05,5,Five stars for the quick delivery.,0.0,Neutral
3,1,8,2023-07-05,5,The quality  is top-notch.,0.0,Neutral
4,1,19,2023-05-07,4,Customer support was very helpful.,0.6997,Positive
5,1,2,2023-09-30,5,Shipping was fast and  the item was well-packaged.,0.0,Neutral
6,1,18,2024-01-06,4,Amazing value for the price.,0.7351,Positive
7,1,18,2023-05-09,4,Amazing value for the price.,0.7351,Positive
8,1,18,2025-05-25,1,I had a bad experience with this product.,-0.5423,Negative
9,1,15,2025-01-10,4,Shipping was fast and  the item was well-packaged.,0.0,Neutral
10,1,17,2025-10-10,2,I had  a bad experience with this product.,-0.5423,Negative
11,1,4,2025-11-14,4,"Great purchase, very satisfied.",0.8016,Positive
12,1,14,2023-03-22,2,Disappointed with the performance.,-0.4767,Negative
13,1,19,2024-10-04,5,"Great purchase, very satisfied.",0.8016,Positive
14,2,15,2023-05-21,1,The product arrived late.,0.0,Neutral
15,2,3,2023-05-05,1,The product arrived late.,0.0,Neutral
16,2,15,2024-08-05,1,"Not satisfied, the product broke  after a week.",-0.6288,Negative
17,2,12,2023-12-11,4,The build quality  is impressive.,0.5106,Positive
18,2,5,2024-05-22,4,The build quality  is impressive.,0.5106,Positive
19,2,18,2024-07-23,2,The color was different from what was shown.,0.0,Neutral
20,2,9,2025-04-30,2,"Not satisfied, the product broke after a week.",-0.6288,Negative
21,2,8,2023-11-06,4,Shipping was fast and the item was well-packaged.,0.0,Neutral
22,2,1,2025-09-20,1,"The product  is okay, but the instructions were unclear.",-0.2617,Negative
23,2,5,2025-05-08,5,Amazing value  for the price.,0.7351,Positive
24,2,17,2023-04-21,5,"Excellent product, highly recommend!",0.7773,Positive
25,2,13,2023-08-01,4,Customer support  was very helpful.,0.6997,Positive
26,2,15,2023-11-29,4,Amazing value for the  price.,0.7351,Positive
27,2,5,2023-07-27,2,"Terrible customer service,  would not buy again.",-0.4767,Negative
28,2,20,2025-02-09,5,"I love this product, will buy again!",0.6696,Positive
29,2,16,2023-09-09,5,The build quality is impressive.,0.5106,Positive
30,2,10,2023-06-25,5,"Great purchase, very satisfied.",0.8016,Positive
31,2,6,2025-11-23,5,"Excellent product,  highly recommend!",0.7773,Positive
32,2,17,2024-09-02,2,Disappointed with the performance.,-0.4767,Negative
33,2,9,2025-11-27,5,Shipping was fast and the item was well-packaged.,0.0,Neutral
34,3,18,2025-10-26,5,Exceeded my expectations!,0.0,Neutral
35,3,7,2024-05-05,1,"Average experience, nothing  special.",-0.3089,Negative
36,3,12,2023-03-01,2,The product arrived late.,0.0,Neutral
37,3,7,2024-12-06,5,"Great purchase,  very satisfied.",0.8016,Positive
38,3,8,2025-08-20,5,Exceeded my expectations!,0.0,Neutral
39,3,20,2023-01-04,4,"Great purchase, very satisfied.",0.8016,Positive
40,3,4,2025-03-06,1,"Average experience, nothing special.",-0.3089,Negative
41,3,6,2025-06-07,1,Not worth the  money.,-0.1695,Negative
42,3,15,2025-04-02,1,Disappointed with the performance.,-0.4767,Negative
43,3,6,2023-09-18,5,Amazing value for the price.,0.7351,Positive
44,3,5,2025-08-29,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive
45,3,5,2023-02-13,5,Five stars for the quick delivery.,0.0,Neutral
46,3,5,2025-06-07,2,"Average experience, nothing special.",-0.3089,Negative
47,3,7,2023-02-27,5,"I love this product, will buy  again!",0.6696,Positive
48,3,11,2024-06-15,4,Shipping was fast and the item was well-packaged.,0.0,Neutral
49,3,12,2025-07-27,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive
50,4,17,2023-02-08,2,"The product is okay, but the instructions were unclear.",-0.2617,Negative
51,4,5,2023-12-19,4,Amazing value for the price.,0.7351,Positive
52,4,11,2025-11-27,4,The build quality is impressive.,0.5106,Positive
53,4,2,2024-05-23,4,The quality is top-notch.,0.0,Neutral
54,4,18,2023-02-27,1,Disappointed with the performance.,-0.4767,Negative
55,4,20,2025-11-01,5,Exceeded my expectations!,0.0,Neutral
56,4,18,2025-09-06,5,Exceeded my expectations!,0.0,Neutral
57,4,9,2024-02-19,1,"The product is okay, but the instructions were unclear.",-0.2617,Negative
58,4,13,2025-06-24,5,Exceeded my  expectations!,0.0,Neutral
59,4,4,2023-11-13,2,"Not satisfied, the product broke after a week.",-0.6288,Negative
60,4,5,2024-06-02,2,I had  a bad experience with this product.,-0.5423,Negative
61,4,13,2025-09-24,4,Exceeded my expectations!,0.0,Neutral
62,4,17,2025-04-07,5,Exceeded my  expectations!,0.0,Neutral
63,4,1,2024-11-23,4,The build quality is impressive.,0.5106,Positive
64,4,17,2024-08-28,4,Five stars for the quick delivery.,0.0,Neutral
65,4,8,2023-08-03,4,"I love this product, will buy again!",0.6696,Positive
66,5,9,2023-09-23,1,"Not satisfied, the product broke after a week.",-0.6288,Negative
67,5,9,2025-04-11,5,"Excellent product, highly recommend!",0.7773,Positive
68,5,11,2023-07-03,5,Shipping was fast and the item was well-packaged.,0.0,Neutral
69,5,9,2023-02-04,2,"Good quality, but could be cheaper.",0.2382,Mixed Positive
70,5,8,2023-05-17,5,Five stars for the quick  delivery.,0.0,Neutral
71,5,9,2023-09-22,4,Exceeded my expectations!,0.0,Neutral
72,5,9,2023-04-14,5,"I love this product, will buy again!",0.6696,Positive
73,5,7,2024-08-16,5,Shipping was  fast and the item was well-packaged.,0.0,Neutral
